ID,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Tema,Estado,Tiene Explicación
"63674223","En Word, ¿Qué botón del menú Inicio > Párrafo nos permite definir en un solo cuadro de diálogo el estilo y formato de número para cada nivel y subnivel en una lista?","Lista multinivel","Listas ordenada","Viñetas.","Secuencia ordenada",A,Word365,tech_bad_answer,Sí
"b7307d13","¿Cuál es la función del ajuste de ""Conservar con el siguiente"" en la ficha ""Inicio""?","Asegura que un párrafo siempre se imprima junto con el siguiente","Une varias secciones del documento en un solo bloque","Evita que un párrafo se divida en varias páginas","Permite que las imágenes se muevan junto con el texto",A,Word365,tech_bad_answer,Sí
"a2f89c67","En la ficha Diseño, ¿qué ocurre si se aplica una Marca de agua sobre un documento que ya tiene un fondo de color?","La marca de agua solo será visible en la vista de impresión, pero no en la pantalla.","No se podrá aplicar la marca de agua a menos que se elimine el fondo.","La marca de agua sobrescribirá el color de página.","La marca de agua se superpone al fondo, manteniendo el color de página.",D,Word365,tech_bad_answer,Sí
"2e9547a8","¿Qué sucede si se inserta un salto de sección “Continua” en medio de un documento y luego se cambia la orientación de página a horizontal?","La orientación no puede aplicarse con salto continuo","Se aplica solo a la página siguiente","Solo esa sección cambia a horizontal","Todo el documento cambia a horizontal",C,Word365,tech_bad_answer,Sí
"f4618938","En la ficha Disposición, grupo Configurar página, ¿qué sucede al cambiar la orientación de una sección a horizontal?","Solo la página actual se orienta en horizontal, sin afectar a las siguientes.","Todas las secciones del documento adoptan la misma orientación.","Se modifica la orientación únicamente de la sección activa.","Word obliga a insertar un salto de página al final del documento.",C,Word365,tech_bad_answer,Sí
"37829fdb","¿Qué función realiza la opción de ""Sombreado"" en un documento de Word?","Crea sombras en las letras del texto.","Colorea las letras del texto.","Crea sombras en el marco del texto.","Colorea el fondo del texto o párrafo seleccionado.",D,Word365,tech_bad_explanation,Sí
"ce2b1acc","En un documento de Word 365 aplicamos el estilo de párrafo “Estilo1”. Más tarde editamos “Estilo1” y modificamos el tamaño de letra. ¿Qué ocurrirá en los párrafos a los que ya se les había aplicado dicho estilo?","Para actualizar los párrafos existentes debemos pulsar con el botón derecho en el estilo y seleccionar «Aplicar estilo nuevamente».","Los párrafos con ese estilo se actualizarán automáticamente con los cambios.","Los cambios no afectarán a los párrafos existentes, sólo a los nuevos que utilicen el estilo.","Se creará automáticamente un nuevo estilo independiente con el formato modificado.",B,Word365,tech_bad_answer,Sí
"07e22f6a","La opción ""Columnas"" de Word permite seleccionar el número de columnas en que dispondremos el texto. ¿En cuál de las siguientes pestañas de la cinta de opciones de Word se encuentra dicha opción de forma predeterminada?","Correspondencia","Insertar","Disposición","Vista",C,Word365,tech_bad_answer_and_explanation,No
"5a731471","¿Cuál de las siguientes afirmaciones sobre la herramienta ""Buscar y reemplazar"" en la ficha ""Inicio"" es correcta?","Permite reemplazar texto pero no cambiar formatos","Permite buscar y reemplazar texto respetando mayúsculas y minúsculas","Se puede buscar texto con comodines pero sin expresiones regulares","Solo se pueden buscar palabras completas, no fragmentos dentro de una palabra",B,Word365,tech_bad_answer,Sí
"479671ea","En el grupo Configurar página, al elegir Tamaño → Más tamaños de papel…, y seleccionar “Aplicar a: De aquí en adelante”:","Crea automáticamente un salto de página.","Aplica el nuevo tamaño a la sección activa y las siguientes.","Cambia el tamaño del papel únicamente para la página actual.","Afecta retroactivamente a todas las secciones previas.",B,Word365,tech_bad_answer,Sí
"ce5ad92a","¿Qué ocurre si aplicamos una sangría francesa de un centímetro al párrafo de un documento de Word?","Todas las líneas del párrafo aparecerán desplazadas un centímetro hacia la izquierda.","Todas las líneas tendrán un sangrado de un centímetro.","La primera línea del párrafo aparecerá un centímetro desplazada a la derecha.","Todas las líneas del párrafo excepto la primera tendrán un sangrado de un centímetro hacia la derecha.",D,Word365,tech_bad_answer,Sí
